runs,wickets,overs,target,run_rate,remaining_runs,remaining_overs,required_run_rate,win_probability
102,1,11.734050450542519,398,8.69,296,38.27,7.71,0.2562814070351759
348,0,37.88954920721028,176,9.18,-172,12.11,0.0,1.0
270,7,29.34691574131694,295,9.2,25,20.65,1.2,0.9152542372881356
106,7,39.158511946973576,361,2.71,255,10.84,23.31,0.2936288088642659
71,8,37.33291014095672,283,1.9,212,12.67,16.6,0.2508833922261484
188,5,2.625009217378056,204,71.62,16,47.37,0.34,0.9215686274509804
20,0,44.63631981279816,122,0.45,102,5.36,18.68,0.16393442622950816
102,8,11.428888530685207,186,8.92,84,38.57,2.17,0.5483870967741935
121,2,27.71428276746521,323,4.37,202,22.29,9.02,0.3746130030959752
214,5,32.24997901073616,93,6.64,-121,17.75,0.0,1.0
330,9,8.51454772316626,296,38.76,-34,41.49,0.0,1.0
87,9,48.81393970937862,198,1.78,111,1.19,86.05,0.43939393939393945
99,8,24.45898220875672,105,4.05,6,25.54,0.23,0.9428571428571428
151,2,2.9763705103099323,225,50.73,74,47.02,1.57,0.6711111111111111
130,4,46.86937603441424,306,2.77,176,3.13,54.49,0.4248366013071896
149,4,29.354765375344076,350,5.08,201,20.65,9.69,0.4257142857142857
308,9,34.98974057927068,112,8.8,-196,15.01,0.0,1.0
257,6,26.306271917717783,363,9.77,106,23.69,4.46,0.7079889807162534
343,3,41.753423943370684,112,8.21,-231,8.25,0.0,1.0
293,3,1.7533597634412237,343,167.11,50,48.25,1.03,0.8542274052478134
191,6,13.492080427329672,78,14.16,-113,36.51,0.0,1.0
276,8,23.53545298449434,89,11.73,-187,26.46,0.0,1.0
160,3,3.922520454054131,196,40.79,36,46.08,0.78,0.8163265306122449
313,3,35.32474279940025,137,8.86,-176,14.68,0.0,1.0
21,5,19.743804361376476,105,1.06,84,30.26,2.77,0.19999999999999996
252,5,13.706132714380386,349,18.39,97,36.29,2.67,0.7220630372492837
235,6,0.26860445573977243,242,874.89,7,49.73,0.14,0.9710743801652892
344,0,36.01953255632269,149,9.55,-195,13.98,0.0,1.0
48,2,41.7070845127558,264,1.15,216,8.29,25.74,0.18181818181818177
58,8,19.812522730506775,190,2.93,132,30.19,4.36,0.3052631578947368
169,5,28.25447705396494,98,5.98,-71,21.75,0.0,1.0
187,5,11.461562633886961,164,16.32,-23,38.54,0.0,1.0
270,4,31.14766254937864,278,8.67,8,18.85,0.42,0.9712230215827338
189,2,0.705659169928506,301,267.83,112,49.29,2.27,0.627906976744186
174,4,24.483330465228047,124,7.11,-50,25.52,0.0,1.0
50,0,32.245853543850544,240,1.55,190,17.75,10.64,0.20833333333333337
54,2,45.91776948416373,248,1.18,194,4.08,46.41,0.217741935483871
243,3,19.128657274401984,212,12.7,-31,30.87,0.0,1.0
319,4,38.28299112875339,188,8.33,-131,11.72,0.0,1.0
130,9,29.92458279418069,98,4.34,-32,20.08,0.0,1.0
306,8,46.35790443496152,164,6.6,-142,3.64,0.0,1.0
134,3,19.979046015405586,217,6.71,83,30.02,2.76,0.6175115207373272
20,2,16.022857459662102,326,1.25,306,33.98,8.98,0.06134969325153372
328,9,44.36838573483777,96,7.39,-232,5.63,0.0,1.0
166,0,2.557295630273627,308,64.91,142,47.44,2.99,0.538961038961039
273,9,6.905631107390471,265,39.53,-8,43.09,0.0,1.0
88,5,4.211981285743818,279,20.89,191,45.79,4.16,0.3154121863799283
315,6,42.171186833162494,176,7.47,-139,7.83,0.0,1.0
13,9,0.6293104261789376,372,20.66,359,49.37,7.26,0.034946236559139754
241,7,43.096692059302704,367,5.59,126,6.9,18.0,0.6566757493188011
264,0,22.618262989026213,274,11.67,10,27.38,0.36,0.9635036496350365
345,3,0.3008614148131403,199,1146.71,-146,49.7,0.0,1.0
52,4,20.14209434288089,336,2.58,284,29.86,9.48,0.15476190476190477
339,1,9.421361968147275,95,35.98,-244,40.58,0.0,1.0
91,0,31.257584324860936,350,2.91,259,18.74,13.75,0.26
263,7,34.000003617090165,63,7.74,-200,16.0,0.0,1.0
34,5,24.42762576320949,170,1.39,136,25.57,5.3,0.19999999999999996
205,4,2.1219243194395316,240,96.61,35,47.88,0.73,0.8541666666666666
80,8,32.84082733792337,382,2.44,302,17.16,17.5,0.2094240837696335
49,1,42.11773530191551,393,1.16,344,7.88,43.11,0.12468193384223913
1,9,36.04418143858744,215,0.03,214,13.96,15.22,0.0046511627906976605
53,7,41.5149001558704,166,1.28,113,8.49,13.15,0.3192771084337349
105,9,10.105425225189284,173,10.39,68,39.89,1.7,0.6069364161849711
259,8,44.45550818885848,103,5.83,-156,5.54,0.0,1.0
309,0,16.177453187333345,353,19.1,44,33.82,1.3,0.8753541076487252
190,6,0.7689002311743521,320,247.11,130,49.23,2.64,0.59375
217,7,42.18524315182063,248,5.14,31,7.81,3.92,0.875
43,2,47.096881321339865,265,0.91,222,2.9,74.0,0.1622641509433962
161,3,32.8123540511257,162,4.91,1,17.19,0.06,0.9938271604938271
201,2,11.64868786012489,65,17.26,-136,38.35,0.0,1.0
269,6,12.662048767698266,265,21.24,-4,37.34,0.0,1.0
303,8,23.382984384437414,184,12.96,-119,26.62,0.0,1.0
270,2,44.90177087211083,92,6.01,-178,5.1,0.0,1.0
214,5,7.564923041763162,301,28.29,87,42.44,2.05,0.7109634551495017
251,7,41.316086112216,333,6.08,82,8.68,9.34,0.7537537537537538
189,5,14.636010154387002,371,12.91,182,35.36,5.13,0.5094339622641509
295,1,40.448449854511985,147,7.29,-148,9.55,0.0,1.0
212,6,46.02153276031678,109,4.61,-103,3.98,0.0,1.0
207,1,21.43194421251658,279,9.66,72,28.57,2.51,0.7419354838709677
236,1,18.31602763986599,180,12.88,-56,31.68,0.0,1.0
337,1,40.13084381666796,208,8.4,-129,9.87,0.0,1.0
52,0,26.521195830731763,361,1.96,309,23.48,13.1,0.14404432132963985
279,0,34.254007518313536,133,8.15,-146,15.75,0.0,1.0
