runs,wickets,overs,target,run_rate,remaining_runs,remaining_overs,required_run_rate,win_probability
53,5,21.854305348131312,255,2.43,202,28.15,7.18,0.011
0,10,47.78214378844623,264,0.0,264,2.22,118.92,0.0
40,7,37.93972738151323,238,1.05,198,12.06,16.42,0.002
35,7,31.93963178886665,244,1.1,209,18.06,11.57,0.003
17,5,12.020838819909644,172,1.41,155,37.98,4.08,0.049
14,5,12.01975341512912,148,1.16,134,37.98,3.53,0.056
23,1,7.613762547568976,151,3.02,128,42.39,3.02,0.385
14,9,43.97792655987208,288,0.32,274,6.02,45.51,0.0
94,5,32.0501755284444,308,2.93,214,17.95,11.92,0.007
52,7,36.86326600082205,315,1.41,263,13.14,20.02,0.001
21,0,5.92630224331111,156,3.54,135,44.07,3.06,0.76
60,7,48.645943347289744,245,1.23,185,1.35,137.04,0.002
67,7,42.45991883601898,270,1.58,203,7.54,26.92,0.002
19,5,14.555259980522427,160,1.31,141,35.44,3.98,0.048
15,5,13.182123524319527,143,1.14,128,36.82,3.48,0.057
25,3,13.253202943404522,150,1.89,125,36.75,3.4,0.142
29,4,18.690900933179197,144,1.55,115,31.31,3.67,0.082
78,5,28.614039423450702,287,2.73,209,21.39,9.77,0.008
87,4,24.43752583889521,283,3.56,196,25.56,7.67,0.021
37,3,18.105311308911887,159,2.04,122,31.89,3.83,0.125
16,8,32.53338026250708,205,0.49,189,17.47,10.82,0.002
21,4,11.277223729341882,173,1.86,152,38.72,3.93,0.086
13,6,18.146509184084817,124,0.72,111,31.85,3.49,0.034
82,3,21.486282948216125,254,3.82,172,28.51,6.03,0.103
89,3,25.523149289766618,230,3.49,141,24.48,5.76,0.101
36,8,40.33291826268561,272,0.89,236,9.67,24.41,0.001
19,4,13.985320197126189,131,1.36,112,36.01,3.11,0.098
86,4,28.140549728612523,243,3.06,157,21.86,7.18,0.022
182,3,31.65865559879191,363,5.75,181,18.34,9.87,0.03
15,2,7.090268572399898,120,2.12,105,42.91,2.45,0.284
72,5,32.339518335564726,233,2.23,161,17.66,9.12,0.009
5,8,12.673585565928118,176,0.39,171,37.33,4.58,0.006
21,2,7.927321684337578,146,2.65,125,42.07,2.97,0.285
69,7,47.699849176399994,280,1.45,211,2.3,91.74,0.001
0,10,48.45344148835517,299,0.0,299,1.55,192.9,0.0
12,9,41.37788066524075,245,0.29,233,8.62,27.03,0.001
33,2,18.70761961280168,120,1.76,87,31.29,2.78,0.222
25,4,9.395245130287275,198,2.66,173,40.6,4.26,0.107
110,5,35.79048619304706,321,3.07,211,14.21,14.85,0.006
18,8,24.80686221828206,294,0.73,276,25.19,10.96,0.002
18,2,10.491720568015047,120,1.72,102,39.51,2.58,0.236
84,4,27.28296095500716,245,3.08,161,22.72,7.09,0.023
14,2,6.547483450184828,121,2.14,107,43.45,2.46,0.285
0,10,45.91941809354519,333,0.0,333,4.08,81.62,0.0
22,5,16.645099172000762,158,1.32,136,33.35,4.08,0.046
56,6,34.81350279592919,234,1.61,178,15.19,11.72,0.005
50,2,19.026998424023493,172,2.63,122,30.97,3.94,0.197
71,5,28.403060953001486,262,2.5,191,21.6,8.84,0.009
33,7,29.601962570447583,252,1.11,219,20.4,10.74,0.003
29,2,13.318450498648717,150,2.18,121,36.68,3.3,0.213
15,9,48.63130824940514,325,0.31,310,1.37,226.28,0.0
81,6,39.880977051250156,298,2.03,217,10.12,21.44,0.003
66,7,47.27745237038851,267,1.4,201,2.72,73.9,0.001
40,8,45.2672307692442,300,0.88,260,4.73,54.97,0.001
7,9,31.905499046498832,265,0.22,258,18.09,14.26,0.001
0,10,46.48434057604026,296,0.0,296,3.52,84.09,0.0
17,4,8.982162592336378,149,1.89,132,41.02,3.22,0.12
46,1,13.819228808861533,193,3.33,147,36.18,4.06,0.308
14,4,7.035228000974213,151,1.99,137,42.96,3.19,0.127
17,6,19.639864884346895,142,0.87,125,30.36,4.12,0.026
71,5,22.49047803602669,329,3.16,258,27.51,9.38,0.009
27,5,17.210706429825315,182,1.57,155,32.79,4.73,0.037
88,6,42.29318791183682,231,2.08,143,7.71,18.55,0.005
124,1,21.053899701211517,307,5.89,183,28.95,6.32,0.345
25,4,17.642052935932135,138,1.42,113,32.36,3.49,0.084
67,5,29.42132374212118,240,2.28,173,20.58,8.41,0.009
25,3,11.341590123864318,170,2.2,145,38.66,3.75,0.141
13,9,41.098864133931784,272,0.32,259,8.9,29.1,0.001
26,0,8.354778965589688,141,3.11,115,41.65,2.76,0.746
11,9,49.40991214702328,237,0.22,226,0.59,383.05,0.001
77,6,39.751014618349586,284,1.94,207,10.25,20.2,0.003
38,1,13.942205669037758,162,2.73,124,36.06,3.44,0.31
15,1,5.248495270562108,136,2.86,121,44.75,2.7,0.615
0,10,41.695764280467536,339,0.0,339,8.3,40.84,0.0
69,6,36.80858047314277,274,1.87,205,13.19,15.54,0.004
103,5,37.80532256184443,285,2.72,182,12.19,14.93,0.006
35,8,39.70716560086756,360,0.88,325,10.29,31.58,0.001
25,2,8.332009328034067,164,3.0,139,41.67,3.34,0.284
31,7,21.130957784492267,327,1.47,296,28.87,10.25,0.003
9,5,10.214107678630837,120,0.88,111,39.79,2.79,0.071
42,8,43.83965416440171,314,0.96,272,6.16,44.16,0.001
211,2,33.04841570724011,331,6.38,120,16.95,7.08,0.264
25,5,19.890411118369215,148,1.26,123,30.11,4.09,0.043
30,1,7.860125762871064,187,3.82,157,42.14,3.73,0.609
32,4,18.9942044772048,154,1.68,122,31.01,3.93,0.077
33,3,19.633249491203618,133,1.68,100,30.37,3.29,0.135
